name,department,overall_rating,difficulty_rating,would_take_again_percentage,profile_url,courses
William Tavernetti,Mathematics,4.7,3.1,91,https://www.ratemyprofessors.com/professor/1805461,
Cheeto Physics Cat,Physics,5,1.6,99,https://www.ratemyprofessors.com/professor/3028076,
Abdelbasset Farahat,Chemistry,2.6,3.7,40,https://www.ratemyprofessors.com/professor/2832910,
Tim Brelinski,Classics,4.3,2.5,81,https://www.ratemyprofessors.com/professor/1656889,
Amy Kim,Statistics,2.7,3.6,40,https://www.ratemyprofessors.com/professor/2605168,
Bwalya Lungu,Food Science  Technology,3.1,2.7,55,https://www.ratemyprofessors.com/professor/2153654,
Brian Trainor,Psychology,4.1,3.1,85,https://www.ratemyprofessors.com/professor/1118234,
Kevin Luli,Mathematics,4,2.9,82,https://www.ratemyprofessors.com/professor/1877607,
Xiang Dong Zhu,Physics,2.7,3.4,31,https://www.ratemyprofessors.com/professor/351225,
Andre Knoesen,Engineering,2,3.9,9,https://www.ratemyprofessors.com/professor/156157,
David Corina,Linguistics,3.8,2.5,67,https://www.ratemyprofessors.com/professor/810187,
Stephanie Perkins,Agricultural Economics,2.5,3.8,32,https://www.ratemyprofessors.com/professor/2907662,
John Darwent,Anthropology,4.6,2.5,89,https://www.ratemyprofessors.com/professor/713111,
Addie Chan,Mathematics,3.3,4.2,59,https://www.ratemyprofessors.com/professor/3068977,
Ga Young Chung,Asian American Studies,4.9,2.3,96,https://www.ratemyprofessors.com/professor/2603869,
Mark Reiff,Philosophy,3.5,3.2,57,https://www.ratemyprofessors.com/professor/318261,
Yeunshin Lee,Animal Science,2.8,3.3,43,https://www.ratemyprofessors.com/professor/1886654,
Traci Parker,History,4.9,2.5,100,https://www.ratemyprofessors.com/professor/3054776,
Xiao Hui Tai,Statistics,4.3,2.9,85,https://www.ratemyprofessors.com/professor/2854453,
Robert May,Philosophy,3.7,3.4,100,https://www.ratemyprofessors.com/professor/1044297,
Claire Davis,Mathematics,4.8,2.2,91,https://www.ratemyprofessors.com/professor/2580776,
Kaleigh Fisher,Ecology & Evolutionary Biology,3,2.7,54,https://www.ratemyprofessors.com/professor/3074404,
Cigdem Mason,Sociology,4,2.2,66,https://www.ratemyprofessors.com/professor/2875713,
